school_name,url_address,address,postal_code,telephone_no,telephone_no_2,fax_no,fax_no_2,email_address,mrt_desc,bus_desc,principal_name,first_vp_name,second_vp_name,third_vp_name,fourth_vp_name,fifth_vp_name,sixth_vp_name,visionstatement_desc,missionstatement_desc,philosophy_culture_ethos,dgp_code,zone_code,cluster_code,type_code,nature_code,session_code,mainlevel_code,sap_ind,autonomous_ind,gifted_ind,ip_ind,mothertongue1_code,mothertongue2_code,mothertongue3_code,special_sdp_offered,grade_A,grade_O
PUNGGOL GREEN PRIMARY SCHOOL,http://www.punggolgreenpri.moe.edu.sg,98 PUNGGOL WALK,828772,65383011,na,65383210,na,admin_punggolgreen_ps@moe.edu.sg,Punggol MRT Station,na,MDM CHUA LAY TIN,MR GOH CHANG CHUEN,MISS TAN HUILING CHERYL,MDM TAN BETTY,na,na,na,Every PGPS Student_ A Future-Ready Leader,Engaging Learners_ Nurturing Leaders_ Empowering Givers,Our school's emphasis lies beyond academic achievements. We strive to enhance holistic learning and provide a balance between equipping our students with knowledge and developing in them the 21st Century competencies and values that will prepare them as Future-Ready Leaders to thrive in an ever changing future that is uncertain and ambiguous.   In alignment with that vision_ Punggol Green Primary has also adopted the FISH! Philosophy to build a positive and dynamic school culture that enhances teaching and learning. Through the practice of the FISH! Philosophy_ a safe and playful learning environment is created within the school to enhance personal responsibility and internal motivation amongst staff and students.  Based on FISH! principles_ our teachers created four school mascots - Playto_ Attie_ Makena and Beth to personify these principles for our students to encourage and motivate our students to embrace the FISH! Philosophy as their way of life_ the four principles are integrated into various school programmes.  In order to extend this positive culture to our students' homes_ their parents are encouraged to participate in the FISH! Inventory so that they can practise these four simple and yet powerful principles of the FISH! Philosophy with their children at home.,PUNGGOL,EAST,EAST 1,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,"LLP in Environmental Education - LEAP As our students are the future stewards of our environment that sustains our society and future generations_ they need to understand the issues_ relationships and interactions between natural and human systems. Hence_ our school is currently developing our LLP in Environmental Education - LEAP. The LEAP curriculum intends to heighten students' awareness and knowledge about the environment and develop CCE values through the care and appreciation of nature_ and 21st century competencies.  At the end of 6 years of LEAP curriculum in PGPS_ we aim to develop our students to become environmentally literate citizens.  School And Parent Partnership (SAPP) Parents play a significant role in support of the child's character and citizenship development. Our parents at PGPS contribute actively through the FISH! Inventory on the demonstration of FISH! Philosophy and school values beyond school. Some of the parents also inspired our students through the ""Our Aspiration"" programme where they shared about the knowledge_ skills and values that are vital towards achieving their goals in building their career.   In a child's educational journey_ the partnership between school and home cannot be undermined. At PGPS_ we recognize the need to constantly engage the parents to work in tandem with them to develop the child to his/her maximum potentials. To provide parents with a fuller picture of their child's holistic development_ the school conducts termly tripartite Parent-Teacher-Child Conferences where the students get to demonstrate their learning in various subject areas and share their reflections with their parents and teachers. This allows parents to see and hear from their child_ first-hand_ what he/she has learnt throughout the semester_ providing parents with an all-rounded view of the child's academic and character development. Such student-centric sessions allow the child to assume a more active role in his/her learning.",-1,-1
PUNGGOL VIEW PRIMARY SCHOOL,http://www.punggolviewpri.moe.edu.sg,9 PUNGGOL PLACE,828845,6570 1588,na,6570 3680,na,punggolview_ps@moe.edu.sg,Punggol MRT Station,50 382,DR ANG WEK CHENG,MR CHUA CHYE HOCK,MDM SHARIFAH SAMIRAH BTE SYED MOHAMAD,MR CHONG WEE MING,na,na,na,"Confident Learners_ Active Citizens After 6 years in Punggol View_ we want our students to become confident learenrs and active citizens.   A Confident Learner is  -Cognitively robust  -Aesthetically aware -Physically active  An Active Citizen is  -Morally upright -Emotionally adept -Socially responsible  We want our students to strive to ""Do the Right Thing"" and""Give of their Best"" for future learning_ employment and citizenship.",Touching Lives_ Inspiring Future To nurture the whole child through a values-based_holistic education in a caring and rich learning environment so that our students will become persons of character who are good and useful citizens of tomorrow.  We want to provide strong fundamentals for Future Learning that includes: - Nurturing sound values and social-emotional skills to develop character. - Develop the love for Singapore for active citizenry.,"We adopt the Starfish Story as our philosophy to guide us to make a difference in the lives of our students_ staff and stakeholders.  Our motto ""Grow and Glow"" is an aspiration that as the school grows_ it will glow in the community as a school of distinction.    We believe in nurturing the whole child by guiding our students to develop their moral_ emotional_ social_ cognitive_ aesthetic and physical (MESCAP) domains to the fullest so that they will become persons of character who are good and useful citizens of tomorrow.  We want our students to:    - Learn the subject disciplines comprising the Languages_ Social Studies_ the Arts and Physical Education_ Mathematics and Science so as to build a strong foundation in literacy_ numeracy_ scientific and life skills for the future_   - Inculcate and cultivate values and social-emotional skills to develop moral character_   - Foster the emerging 21st Century Competencies so as to develop performance character_ and   - Enrich our students' learning experiences especially in the areas of creativity_ outdoor education_ student leadership and talent development so as to meet their diverse needs and interests_ and to realise their full potential.  We believe that we can do so by building a culture of care and learning in the school.  We provide a caring climate for our students to grow through positive teacher-student relationship and restorative practice to manage good behaviour and peer relationship.  We design a rigorous and sound school-based curriculum to foster the joy of learning and the drive for lifelong learning.  To further develop our students' talent and interest_ our students are provided opportunities to experience the following key programmes_ namely_ creativity and play-based learning_ outdoor education_ and student life and leadership programme.  We will need to: (1) enhance our staff capacity and well-being and (2) collaborate with the home and community to bring out the best in every student.",PUNGGOL,EAST,EAST 1,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,Living Out our Values Every day (LOVE@PGVP) We believe that values are caught and not just taught. The school values are taught during our Character and Citizenship Education (CCE) Lessons and reinforced through our school-based programmes.  Students are taught to reflect on their actions on a Value Card and teachers will endorse the card upon the successful completion of the observable behaviours or actions. The students could be rewarded with a value badge. We hope by so doing_ our students will live out these values as habits for life  Learning for Life Programme - Outdoor Education   We believe firmly that Outdoor Education (OE) is a good opportunity to develop ruggedness and resilience in our students. Hence_ the school has put in place a comprehensive Learning for Life Programme (LLP) on Outdoor Education. This allows students to work in teams and collaborate with their peers to build character_ evoke their curiosity about nature_ and develop a feeling of wanting to protect the environment via Values in Action. In the process_ our students will learn to navigate_ assess risks and make decisions about their own safety and wellbeing_ while enjoying the outdoors.  These are essential life skills and values that we hope to develop in our students.   Creative LEGO Our signature Creative LEGO ensures that our students acquire the learning outcomes of Confidence_ Curiosity and Collaboration through a series of art-related experiences such as PAL. Students will acquire an appreciation for sculpture building as well as develop skills in aesthetics and creativity.  Through generating ideas creatively in groups and responding to issues and challenges_ our students would develop 21st century competencies such as collaboration and communicating effectively.  Most importantly_ our students will enjoy the learning through active engagement with the element of fun.,-1,-1
QUEENSWAY SECONDARY SCHOOL,http://www.queenswaysec.moe.edu.sg,2A MARGARET DRIVE,149295,64741421,na,64741302,na,QSS@moe.edu.sg,COMMONWEALTH MRT_ QUEENSTOWN MRT,32_ 51_ 93_ 100_ 105_ 111_ 122_ 123_ 145_ 147_ 153_ 186_ 195_ 196_ 198_ 855_ 961_ 970,MR TAN CHONG TZE_ PETER,MISS PAULINE CHIA HUI MIEN,MR NG HOCK SOON,MR YONG WEI LEONG,na,na,na,Caring Citizens and Life-long Learners in a School of Excellence,Providing a holistic education to nurture caring_ responsible citizens and confident_ life-long learners in a changing world,We believe that every child is unique_ valuable and can achieve success. Every staff makes a difference as we develop students according to their abilities. We inculcate values_ good habits and 21st century skills to nurture lifelong learners and caring citizens and work with key stakeholders to build a learning community.,QUEENSTOWN,SOUTH,SOUTH 2,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,The QSS Experience provides varied programmes and opportunities to nurture every Queenswayan to become caring_ responsible citizens and confident_ life-long learners. We harness differentiated approaches to stretch our students' cognitive ability through our programmes. Our English Ingenium and Bilingual Programmes nurtures high-ability students to excel in the English and Chinese languages respectively. The school's Applied Learning Programme in Science_ Technology_ Engineering and Mathematics develops critical and innovative thinking through inquiry-based_ experiential and co-operative learning approaches. It is structured and integrated into our Science and Humanities curriculum. Talented students also hone their critical thinking skills through participation in the Singapore Olympiads and other enrichment activities. The comprehensive Character and Citizenship Education programme nurtures social-emotional attributes and inculcates values and life-long skills. Our extensive CCA_ Student Leadership Development and Values-in-Action programmes provide authentic experiential learning opportunities. QSS Lifelong Learning Programme in Sports for Life & Outdoor Education inculcates interest_ skills and attitudes for active participation in sports_ physical and outdoor activities. Our Student Development programmes enhance the quality of school experience with emphasis and attention to values education and students' social emotional needs and development. Students at each level are cared for and mentored by their Form Teachers and Year Heads who oversee the students' holistic development and work closely with the school management team to ensure effective delivery of student-centric_ values-driven education. Other special programmes include Advanced Elective & Elective Modules_ ICT & Mobile Apps_ Digital Art_ Aesthetics & Performing Arts_ Internationalisation Programme and Outdoor Education camps and modules.,-1,220
RAFFLES GIRLS' SCHOOL (SECONDARY),http://www.rgs.edu.sg,20 ANDERSON ROAD,259978,67371845,na,62353731,na,RGSS@MOE.EDU.SG,ORCHARD MRT_ STEVENS MRT,105_ 132_ 190_ 972,MDM THAM MUN SEE,MS CHIN JEN FU,MRS MARY CHERIYAN,MS TAN HWEE MIAN MAY,na,na,na,To aspire_ strive and dare to be active creators of a better age for all.,Nurturing the high ability girl to be a leader who will realise her talents in service of nation and community.,At RGS_ every student is nurtured and developed to her fullest potential. Our students journey beyond traditional boundaries in their pursuit of knowledge in a supportive environment that caters to their needs_ so that they can live a fulfilling life and contribute to society.,CENTRAL,SOUTH,SOUTH 7,INDEPENDENT SCHOOL,GIRLS' SCHOOL,SINGLE SESSION,SECONDARY,No,No,Yes,Yes,Chinese,Malay,Tamil,Providing a holistic education_ our 6-year Raffles Programme (Y1-4 in RGS and Y5-6 in RI) bypasses the GCE O Level Examinations_ featuring an enriched and accelerated curriculum that nurtures high-ability learners. At the end of Y6_ RGS girls graduate not only with the GCE A Level Examination certificate_ but also with the Raffles Diploma - designed to recognise the peaks of excellence in five domains: Cognitive_ Character & Leadership_ Community & Citizenship_ Sports & Health_ and Arts & Aesthetics.   Student Development develops the personal capacity of RGS girls and nurtures them to be individuals who are conscious of their responsibility to family_ community and nation. Their disposition is developed through the inculcation of knowledge_ competencies and values through the Character and Leadership Education (CLE) programme. The CLE Programme empowers our girls to be: good stewards of their lives by heightening their self-awareness through reflection and equipping them with self-management and interpersonal skills; active and socially responsible citizens by promoting school and community involvement; reflective and visionary leaders by equipping them with a habit for introspection_ decision-making with foresight and a spirit of teamwork.   Special programmes offered include: Third Languages (Arabic_ French_ German_ Japanese_ Spanish_ Chinese/Malay Special Programmes); Music Elective Programme; Special Art Programme; Regional Studies Programme; Research Studies Programme (featuring Odyssey of the Mind and Future Problem Solving Programme); Raffles Academy - Course Work and Research Modules - that nurtures girls with special talents and interests; Mentorship Programmes in Science_ Mathematics_ Humanities and Creative Writing; Language Immersion_ Values-in-Action_ Student Leadership Development_ Work Experience_ and Education & Career Guidance Programmes.,-1,259
RAFFLES INSTITUTION,http://www.ri.edu.sg,1 RAFFLES INSTITUTION LANE,575954,64199242,na,64199238,na,comms@ri.edu.sg,BISHAN MRT_ MARYMOUNT MRT,410_13_50_52_53_54_55_56_57_58_59_71_74_88_93_128_130_132_156_157_162_163_165_166_167_851_852_855_980,MR YEO KOK PENG FREDERICK,MR MAGENDIRAN K SINATHURAI,MDM THOR POH SIN THERESA,MRS REAVLEY MUNN YE,MR ANG PENG SIONG BRIAN LAGMAN,MR EDWARD NG,MR CHEN ZIYANG,To be the 'Hope of a Better Age'_ as encapsulated in the school's Latin motto_ Auspicium Melioris Aevi.,Nurturing Thinkers_ Leaders and Pioneers of character who serve by leading and lead in serving.,Founded in 1823_ Raffles Institution (RI) provides its students with an all-round education through its integrated six-year Raffles Programme_ which leads to the GCE A-Level certification for boys aged 13 to 18 and girls aged 17 to 18. Modelled on exemplary gifted education principles and practices for high-ability learners_ the programme lays a solid foundation for critical thinking_ innovation and character development. The Cognitive development domain of the programme is based on the GCE A-Level subject specialisations with extended enrichment modules. Through a wide spectrum of programmes_ students are nurtured in this and four other domains of life: Character and Leadership; Community and Citizenship; Sports and Health_ and Arts and Aesthetics. RI's special focus is on Character and Leadership development_ particularly in giving back to the community. The Raffles Programme develops students into thinkers_ leaders and pioneers_ who understand that the basis of leadership is service_ and actively seek to serve others. Students will come to a greater awareness of their talents and gifts_ and learn where and how to put these talents to their best use.,BISHAN,SOUTH,SOUTH 7,INDEPENDENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,MIXED LEVEL,No,No,Yes,Yes,Chinese,Malay,Tamil,Character & Leadership Education Programme_ Regional Studies Programme (RSP)_ Raffles Academy (for students with an exceptional aptitude in specific subjects)_ GAP Semester (a self-directed curriculum where students receive structured mentoring and gain knowledge of both local issues and global solutions)_ Raffles Boarding Programme_ Raffles Science Institute (e.g. in-house research electives_ external research attachments)_ E W Barker Institute of Sports (Sports Science Programme)_ RI Lecture Series (a Cabinet Minister is invited to speak to students) and RI Ambassador Series (an ambassador is invited to speak to students).,5,210
REGENT SECONDARY SCHOOL,http://regentsec.moe.edu.sg,50 CHOA CHU KANG NORTH 5,689621,67653828,na,67653413,na,REGENT_SS@MOE.EDU.SG,YEW TEE MRT_ CHOA CHU KANG MRT,307_ 301_ 302_ 160_ 170_ 178_ 925_ 927_ 960_ 983_ 961_ 979M,MR LEONG KOK KEE,MDM PUSHPARANI D/O K NADARAJAH,MRS TANG HUAY JIUAN PATRINE,na,na,na,na,A Self-Directed Learner. A Confident Leader. In Pursuit of Excellence,Realising Regenites' Potential,"In Regent_ our students learn to be self-directed learners_ who take pride in learning_ think critically and make informed decisions. They lead and motivate others to effect positive changes in school and community. In the pursuit of excellence_ our students embrace self-belief_ seek progress and turn challenges into opportunities for learning and growth.  More importantly_ they are grounded in the right school values of ""Respect_ Empathy_ Determination and Integrity"". Our staff firmly believes in a student-centric education and we are committed to help students maximise their talents and realise their aspirations.",CHOA CHU KANG,WEST,WEST 8,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,Regent delivers a comprehensive curriculum with customised programmes to support the varied learning needs and interests of our students. In the instructional programme_ Assessment for Learning (AfL) strategies are adopted as a school-wide teaching and learning approach to develop our students to be self-directed. Our Applied Learning Programme (ALP) is supported by the Science Centre and serves as a platform to guide and expose our students in the area of STEM (Science_ Technology_ Engineering and Math) which they learn to appreciate the relevance and value of what they learn in the academic curriculum. Students will have the opportunity to build an Underwater Remotely Operated Vehicle (ROV) from scratch while learning to work in teams. This builds up students' skills in thinking_ self-directing_ problem-solving and decision-making. In Secondary 2_ they will be taught coding and they will attempt to apply it on their ROV. Secondary 3 students are exposed to a wider range of STEM industries via Learning Journeys_ Elective Modules and Advanced Elective Modules. In addition_ Regent's Learning for Life Programme (LLP) adopts a whole-school approach to develop student's character_ leadership and spirit for volunteering. The approach is achieved through our school's Student Leadership Programme and the Values-in-Action Programme (for youth volunteerism development). The Student Leadership programme equips our students with the attitude_ knowledge and skills to lead self_ peers and community. The Values-in-Action programme provides our students with the platforms and opportunities to take action and make a difference in school and community. Other enrichment programmes provided include the Mathematics & Science Olympiad. We are increasing opportunities for students to initiate VIA activities so that our students will be able to lead change in causes they are passionate about.,-1,201
RIVER VALLEY HIGH SCHOOL,http://www.rvhs.moe.edu.sg,6 BOON LAY AVENUE,649961,65678115,na,65677351,na,RVHS@MOE.EDU.SG,BOON LAY MRT,99_ 157_ 172_ 174_ 174E_ 198_ 502_ 502A_ SS4_ NR5,MRS TEO KHIN HIANG NEE LEE WAI TAI,MR LAU WAI CHI ALVIN,MR KWOK YING LIANG,MR GAY CHOON LIN,na,na,na,A world-class institution that develops leaders of distinction for Singapore.,To nurture in students bicultural acumen and moral integrity; to empower students to be thinkers_ leaders and achievers with a global perspective.,Founded in 1956_ RVHS has progressed from humble beginnings to become a Special Assistance Plan (SAP) school (1979) with Autonomous Status (1994) that offers a single-track 6-year Integrated Programme (2006). Guided by our school motto_ we imbue in our students the values 'Pursuit of Excellence_ Perseverance_ People-centricity and Proactive-ness'. We equip our students with attitudes_ skills and knowledge to realise their potential as future leaders and contribute to society.,JURONG WEST,WEST,WEST 7,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,MIXED LEVEL,Yes,Yes,No,Yes,Chinese,na,na,The RV Integrated Programme (RV IP) offers a balanced education that seeks to develop every student's interests and talents to their fullest potential across areas of the academics_ CCA and leadership. Our Leadership - Character Development Curriculum aims to inculcate sound values and nurture character and leadership in our students through programmes such as the Personal Leadership Programme_ Overseas Experiential Learning Programme_ Education and Career Guidance Week_ National Education and Values in Action as well as our annual leadership seminar. Through our academic Cognitive Interest Development Curriculum_ most notably our Construct_ Integrate_ Differentiate (CID) Programme_ we empower students to be innovative and critical thinkers and prepare them to thrive in higher education. Our other academic talent development platforms include the Bicultural Studies Programme and Bicultural Leaders Academy_ the Science Leaders Academy_ the Mathematics Leaders Academy_ the Humanities and Social Studies Leaders Academy_ the Eco-Sustainability Leaders Academy and the Student Leadership Development Academy. Our Co-Curricular Activities nurture 21st century competencies and develop the interests and talents of our students in a full range of sports_ performing arts_ uniformed groups_ clubs and societies.,9,233
RIVERVALE PRIMARY SCHOOL,http://www.rivervalepri.moe.edu.sg/,80 RIVERVALE DRIVE,545092,63887450,na,63887449,na,RIVERVALE_PS@MOE.EDU.SG,Nearest LRT Station : Rumbia,Bus Service 86.,MISS SEET ENG GEOK LENA,MR KNG WEE BENG,MR KHOU BENG CHEW,na,na,na,na,The Rivervale - School of Excellence_ Individuals of Character,To inspire and develop Riverlites to be responsible citizens and passionate learners.,The school's focus on 'The Whole Child in Every Riverlite' guides the school in its decisions_ actions and interactions with its stakeholders in achieving its goals. A new set of core values_ Respect_ Responsibility_ Resilience_ Integrity_ Care_ Harmony_ Excellence and Teamwork (R3ICHET)_ was initiated with effect from 2017 to complement the school's existing culture of care and excellence and to emphasise its focus on CCE. Desired behaviours are constantly communicated and emphasized to encourage students to demonstrate the core values through platforms such as assembly_ school programmes and learning journeys. Other programmes under CCE_ IP_ Student Leadership_ VIA and CCAs also reinforce the teaching and learning of these core values.   The school adopts the 'Leading by Serving' philosophy to support an inviting and vibrant school that leads by example and commits to the service for others. Staff and students practise 'Leading by Serving' through their participation in school programmes and activities: 'Keep My Classroom Clean'_ 'Good Morning_ Rivervale!'_ 'A Helping towards My Friends' and 'P1 Buddying'. The school also adopts the Restorative Practice as part of its 'discipline with care' approach to help students take responsibility for their behaviour.   The school promotes safety and social responsibility among students through the 'Keep Myself Safe' and 'Keep My Friends Safe' campaigns. EAS staff are also involved in sustaining the culture of care through providing and supporting teachers and stakeholders with excellent service to realise the school's vision of the The Rivervale - School of Excellence_ Individuals of Characters.,SENG KANG,NORTH,NORTH 1,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,(1) The focus of the Learning for Life Programme (LLP) is on mass participation. DANCE FEVER (Dance Appreciation Nurturing Cultural Expression For EVEry Riverlite) was reviewed and refined to encompass fitness and movement on top of cultural literacy. All students are exposed to a range of dance forms through a spiral progression of knowledge and skills training from basic level 1 to intermediate level 4.   (2) The Riv BE Global Classroom: A programme that provides students with borderless learning where they learn to be independent_ make friends_ exercise confidence and develop the 21st CC.   (3) Rivervale NE Heritage Island-wide Trail:  It provides students with the opportunity for experiential learning beyond the classroom with the aim of instilling in students a strong sense of loyalty and love for Singapore.   (4) Good Morning_ Rivervale!:  A platform to develop students to be confident speakers by providing them the opportunity to share stories_ recite poems or present slides on interesting topics on the stage to their friends in the morning.  (5) Multi-Literacy Programme (MLP): It integrates Project Work_ Cyber Wellness_ Financial Literacy_ Media Literacy_ Civic Literacy_ Scratch programming and new ICT baseline standard skills to provide authentic learning experiences for students.  (6) Keep My Classroom Clean and Nobody_ Nobody But You: They create a sense of ownership and belonging in students as they clean their own classrooms and allocated tables in the canteen.  (7) Stay Healthy Programme (SHP):  A programme which is carried out at the beginning of the year whereby the P4 students are appointed buddies during recess to help the P1 students to learn how to select and purchase food from the canteen stalls and adapt to the new environment.,-1,-1
SEMBAWANG SECONDARY SCHOOL,http://www.sembawangsec.moe.edu.sg,30 SEMBAWANG CRESCENT,757704,67566760,na,67585380,na,SEMBAWANG_SS@MOE.EDU.SG,SEMBAWANG MRT,859_ 962,MR JASWANT SINGH,MR LEE KAH SIONG JIMMY,MR GOH KEE YONG @ GOH CHONG HENG,na,na,na,na,Leaders and Change-Makers,To nurture our learners to lead purposeful lives by guiding them to be morally upright_ civic-minded_ resilient_ and future-ready,We nurture our students to become Active Learners_ Skilful Leaders of Self and Others_ and to be Purposeful in Service.  As Active Learners_ our students are self-directed_ demonstrate love for learning_ and are challenged to apply their learning. As Skilful Leaders_ our students understand themselves better_ develop influential leadership skills_ learn to work collaboratively_ and lead with a strong moral foundation. Through Purposeful Service_ our students develop active citizenship by building strong communities in school and beyond_ learning to serve others_ leading in community service_ and taking responsibility for the environment as global citizens. We believe that learners are best nurtured in a safe and caring environment_ and we aspire for all our students to be Leaders and Change-Makers_ adding value to society.  To provide a strong moral compass for our students_ we develop in them the RESPIRE values (Respect_ Responsibility_ Integrity_ Innovative Spirit_ Resilience_ and Empathy). We believe every child can learn and must be developed to the fullest potential.,SEMBAWANG,NORTH,NORTH 8,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,Our ALP niche - Critical and Inventive Thinking through Media Literacy -  empowers students by developing their critical lens as responsible and active consumers and producers of information. Through authentic projects based in the community (Sec 1 Geographical Investigation_ Sec 2 Community Concerns project_ Sec 3 Social Documentary production)_ students develop thinking and collaborative skills_ become confident communicators_ and market ideas to authentic audiences_ while gaining a deeper understanding of concepts through application. IT skills are developed through the elective coding programme_ school-initiated PEARL project which facilitates access to independent & collaborative learning tools in ICT_ and Micro-bits explorations in Science. In addition_ Elective Modules and Advanced Elective Modules are mounted regularly for exploration of student talents. Our LLP niche encompasses Values in Action projects (teacher-facilitated at Lower Sec._ student-initiated at Upper Sec.) which develop empathy and civic-consciousness_ Outdoor Education programmes (Sec 1 Orienteering_ Sec 2 Dragon boating_ Sec 3 Adventure Camp) which develop resilience_ and Leadership Development. The LLP strengthens student minds_ bodies_ and hearts_ and develops in them strong direction to lead purposeful lives through meaningful and challenging pursuits. A wide range of CCAs and academic subjects are offered to cater to student abilities and interests_ and classroom learning is complemented by abundant out-of-classroom learning experiences_ expertly facilitated by our caring teachers.,-1,188
SENG KANG PRIMARY SCHOOL,http://www.sengkangpri.moe.edu.sg/,21 COMPASSVALE WALK,545166,63840809,na,63840839,na,SKPS@MOE.EDU.SG,Sengkang MRT,27_ 80_ 82_ 83_ 86_ 87_ 88_ 89_ 119_ 156_ 163_ 371_ 372 & 965,MDM SEAH WHYE CHOO,MISS THIEN LI CHIN,MR HAMRI BIN A JALIL,na,na,na,na,A Vibrant Community of World-Ready Learners,We aim to nurture our students to be: Confident Communicators;Critical Thinkers;Concerned Citizens.,In Seng Kang Primary School we believe that Everyone is Special_ Everyone Can Learn and Everyone Can Serve. Through our Culture of Care and Excellence_ we strongly believe that every child that passes through our hands is special and can learn when given the right opportunity_ care and coaching to become a world ready learner who love and live life to the best of his or her ability. We take pride in knowing that every SKPS student who walks out of the school has his or her character nurtured through our core values of Confidence_ Integrity_ Respect and Resilience.,SENG KANG,NORTH,NORTH 1,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,"Seng Kang Primary's Applied Learning Programme - Enhanced Spoken English Programme_ develops oral confidence_ fosters creativity and strengthens oral proficiency in our students to develop them into articulate_ creative and confident speakers. Our whole-school approach to effective communication adopts a 6 year progressive matrix which scaffolds and exposes students to different genres and presentation opportunities like poetry recitations_ storytelling_ speech and drama. The school's customised Speak ""Right_ Be Polite"" packages teach appropriate conversational etiquette to enhance students' daily interaction and social skills.   Our Learning for Life Programme - Developing Values and Leadership through Sports Education -  provides positive sport experiences to develop students' leadership skills_ physical_ mental and social resilience as well as  instilling values such as respect for self and team in a competitive_ safe and enjoyable play environment.     Character and Citizenship Education in SKPS is customised to nurture students holistically through inculcating values and building character in 5 domains - Leadership_ Cultural Literacy_ Positive Living_ Social Awareness_ Etiquette_ and Citizenship. Our Cultural Literacy Programme supports students in discovering their strengths_ abilities and interests through customized Art and Music modules.  Believing that Everyone Can Serve_ opportunities are provided for students to assume leadership positions in class and consciously develop their leadership skills through CCA and at school level. Reflections and feedback are used to sharpen students' skills and competencies.    Our Values-In-Action-infused CCA programme provides opportunities for students to serve the community through cultural activities and work in partnerships with organisations such as the Singapore American School (SAS)as part of our exchange programme.",-1,-1
SENG KANG SECONDARY SCHOOL,http://www.sengkangsec.moe.edu.sg,10 COMPASSVALE LANE,545090,63887258,na,63887254,na,skss@moe.edu.sg,SENGKANG MRT_ RANGGUNG LRT,27_ 80_ 85_ 86_ 87_ 89_ 89E_ 163_ 163M_ 372,MR KOH YIAK KHENG,MR TAN TECK TIAN,MDM NAZIMAH BTE ABDULLAH,na,na,na,na,A community of global citizens & learners for life.,Shaping character_ kindling passion & stretching minds.,Seng Kang Secondary School strives to provide a Student-Centric_ Values-Driven (SVE) education that nurtures every student to his / her fullest potential with the belief that every child matters and can learn. Inculcation of values coupled with the development of an excellence mind-set for learning undergird the wide range of opportunities and programmes for students to develop 21st century competencies and skills to prepare them for the future. Through a holistic curriculum delivered within and beyond the classroom_ the school provides authentic experiences for students to enjoy learning and to discover their talents and strengths. In tandem with the school's commitment to nurture leaders with resilience and gracious citizens with a caring heart to serve_ curricular and co-curricular programmes are designed to engage students as active contributors in their teams to lead and serve for the betterment of others. The school has a team of dedicated and committed teachers who expect the best from their students and go the extra mile to help the students to fulfil their potential. In the pursuit of excellence_ teachers actively develop innovative classroom practices and customise curriculum materials to meet the varied needs of every child.,SENG KANG,NORTH,NORTH 1,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,Our Learning for Life Programme is Building Character through Physical Education & Sports. We believe that Physical Education and Sports Education are natural platforms for Character Building and our programme seeks to develop active and healthy students with mental toughness_ empathy and character that will enable them to act as role models to promote a healthy lifestyle to their peers_ family and the community.  Our Applied Learning Programme is on Health Science and Technology which aims to ignite student interests in the field of electronic through hands-on learning that builds a bridge between textbook knowledge and real-world applications. Working in teams_ students learn about coding skills and microprocessor programming and how it can be applied in the area of health sciences.,-1,205
ST. ANDREW'S JUNIOR COLLEGE,http://www.standrewsjc.moe.edu.sg/,5 SORBY ADAMS DRIVE,357691,62857008,62852007,62850037,na,sajc@moe.edu.sg,Potong Pasir NE10,SBSTransit: 8_ 26_ 31_ 90_ 142 _151_ 154 (Diocese of Singapore) SMRT Buses:  857_ 966_ 985 (Diocese of Singapore)_  853 (Upper Serangoon Road),MR LO KHEE TIAN MARK,MR ANG KHENG SAN CECIL,MDM YEOW CHERN EE,MR CHAN KWANG HOW BERNARD,na,na,na,Home of Servant Leaders Who Bring Life To The Nations,Making Lives and Waking Hearts To Serve The Coming Days Family-Society-Eternity,na,TOA PAYOH,SOUTH,SOUTH 5,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,FULL DAY,JUNIOR COLLEGE,No,No,No,No,na,na,na,Academic Pacing Programme_ University Options Seminar_ Exit Seminars_ Work Shadowing_ Arts Enrichment Programme_ Mentoring and Overseas Community Service.,10,-1
